-183.524, 79.825, 0.417,  1.765
-183.512, 79.814, 0.410,  1.798
-183.500, 79.802, 0.406,  1.831
-183.488, 79.791, 0.407,  1.864
-183.476, 79.780, 0.417,  1.897
-183.463, 79.768, 0.418,  1.930
-183.451, 79.757, 0.423,  1.963
-183.437, 79.745, 0.432,  1.996
-183.424, 79.734, 0.433,  2.029
-183.411, 79.722, 0.441,  2.062
-183.397, 79.710, 0.448,  2.095
-183.383, 79.699, 0.451,  2.128
-183.369, 79.687, 0.459,  2.161
-183.354, 79.675, 0.468,  2.194
-183.340, 79.663, 0.476,  2.227
-183.325, 79.650, 0.489,  2.260
-183.309, 79.637, 0.502,  2.293
-183.294, 79.625, 0.506,  2.326
-183.279, 79.612, 0.510,  2.359
-183.263, 79.599, 0.516,  2.392
-183.248, 79.586, 0.521,  2.425
-183.232, 79.573, 0.530,  2.458
-183.216, 79.560, 0.557,  2.491
-183.200, 79.546, 0.546,  2.524
-183.184, 79.534, 0.533,  2.557
-183.168, 79.521, 0.528,  2.590
-183.153, 79.509, 0.527,  2.623
-183.137, 79.496, 0.526,  2.656
-183.122, 79.484, 0.524,  2.689
-183.106, 79.472, 0.537,  2.722
-183.089, 79.458, 0.583,  2.755
-183.071, 79.444, 0.610,  2.788
-183.053, 79.429, 0.634,  2.821
-183.035, 79.415, 0.630,  2.854
-183.017, 79.400, 0.609,  2.887
-183.000, 79.387, 0.592,  2.920
-182.983, 79.374, 0.579,  2.953
-182.967, 79.361, 0.574,  2.986
-182.950, 79.348, 0.575,  3.019
-182.933, 79.335, 0.582,  3.052
-182.916, 79.322, 0.581,  3.085
-182.899, 79.309, 0.585,  3.118
-182.882, 79.296, 0.591,  3.151
-182.865, 79.283, 0.591,  3.184
-182.848, 79.270, 0.595,  3.217
-182.830, 79.257, 0.601,  3.250
-182.813, 79.244, 0.601,  3.283
-182.795, 79.231, 0.605,  3.316
-182.778, 79.218, 0.610,  3.349
-182.760, 79.205, 0.611,  3.382
-182.742, 79.192, 0.614,  3.415
-182.725, 79.179, 0.620,  3.448
-182.707, 79.166, 0.622,  3.481
-182.689, 79.153, 0.627,  3.514
-182.671, 79.139, 0.625,  3.547
-182.653, 79.126, 0.629,  3.580
-182.635, 79.113, 0.635,  3.613
-182.616, 79.100, 0.635,  3.646
-182.598, 79.087, 0.638,  3.679
-182.580, 79.073, 0.644,  3.712
-182.561, 79.060, 0.645,  3.745
-182.543, 79.047, 0.648,  3.778
-182.525, 79.033, 0.650,  3.811
-182.506, 79.020, 0.652,  3.844
-182.487, 79.007, 0.655,  3.877
-182.469, 78.993, 0.657,  3.910
-182.450, 78.980, 0.660,  3.943
-182.431, 78.967, 0.663,  3.976
-182.413, 78.953, 0.666,  4.009
-182.394, 78.940, 0.668,  4.042
-182.375, 78.926, 0.671,  4.075
-182.356, 78.913, 0.674,  4.108
-182.337, 78.899, 0.677,  4.141
-182.318, 78.885, 0.680,  4.174
-182.299, 78.872, 0.683,  4.207
-182.279, 78.858, 0.686,  4.240
-182.260, 78.844, 0.688,  4.273
-182.241, 78.831, 0.691,  4.306
-182.222, 78.817, 0.694,  4.339
-182.202, 78.803, 0.697,  4.372
-182.183, 78.789, 0.700,  4.405
-182.163, 78.775, 0.703,  4.438
-182.144, 78.761, 0.706,  4.471
-182.124, 78.747, 0.708,  4.504
-182.105, 78.732, 0.711,  4.537
-182.085, 78.718, 0.714,  4.570
